sample_id,loc_c,category,n_cases,n_pass
s01_sum,16,pass,4,4
s02_gcd,19,pass,4,4
s03_factorial,14,pass,4,4
s04_fibonacci,16,pass,4,4
s05_count_primes,22,pass,4,4
s06_reverse_string,19,functional_error,4,3
s07_bubble_sort,26,pass,4,4
s08_binary_search,22,pass,3,3
s09_djb2_hash,17,pass,3,3
s10_caesar_cipher,23,pass,3,3
s11_collatz,17,pass,4,4
s12_matrix_mult,36,pass,2,2
s13_word_count,19,functional_error,4,3
s14_fnv_hash,17,pass,3,3
s15_float_avg,17,functional_error,4,3
s16_rle_encode,22,pass,3,3
s17_determinant,35,pass,4,4
s18_expr_eval,88,pass,6,6
s19_global_counter,21,compilation_error,0,0
s20_char_sum,17,functional_error,3,2
s21_matrix_transpose,20,pass,3,3
s22_gray_code,10,pass,4,4
s23_histogram,18,pass,3,3
s24_roman,19,pass,4,4
s25_linked_list_ops,87,pass,4,4
s26_rpn_calculator,69,pass,5,5
s27_csv_stats,73,functional_error,3,2
s28_bst_traversal,80,pass,4,4
s29_hashtable_cmds,141,pass,3,3
s30_luhn_check,34,pass,4,4
s31_soundex,71,pass,4,4
s32_levenshtein,50,pass,4,4
s33_knapsack,71,pass,3,3
s34_hanoi,27,pass,4,4
s35_lcs,67,pass,4,4
s36_crc32,61,pass,3,3
s37_bsd_getopt,148,pass,5,5
s38_bsd_strtol,154,pass,4,4
s39_bsd_heapsort,143,pass,4,4
s40_diff_sum,27,runtime_error,4,3
s41_float_bits,21,pass,4,4
s42_bitfields,25,pass,4,4
s43_switch_fallthrough,25,functional_error,5,2
s44_fib_memo_static,29,pass,4,4
s45_goto_cleanup,43,pass,4,4
s46_musl_qsort,262,pass,7,7
s47_redis_sds,522,functional_error,6,5
s48_cjson_number,389,functional_error,6,1
s49_negative_byte_count,27,functional_error,5,3
s50_id_generator,30,pass,4,4
s51_long_clamp,33,pass,5,5
s52_window_sum,33,runtime_error,5,3
s53_tax_bracket,31,functional_error,5,2
s54_stack_module,95,pass,5,5
s55_config_parser,112,pass,5,5
s56_macro_table,97,functional_error,5,3
s57_shared_counter_threads,71,pass,5,5
