sample_id,loc_c,category,n_cases,n_pass
s01_sum,16,pass,4,4
s02_gcd,19,pass,4,4
s03_factorial,14,pass,4,4
s04_fibonacci,16,pass,4,4
s05_count_primes,22,pass,4,4
s06_reverse_string,19,functional_error,4,3
s07_bubble_sort,26,pass,4,4
s08_binary_search,22,pass,3,3
s09_djb2_hash,17,runtime_error,3,0
s10_caesar_cipher,23,pass,3,3
s11_collatz,17,pass,4,4
s12_matrix_mult,36,pass,2,2
s13_word_count,19,functional_error,4,3
s14_fnv_hash,17,runtime_error,3,0
s15_float_avg,17,functional_error,4,3
s16_rle_encode,22,pass,3,3
s17_determinant,35,pass,4,4
s18_expr_eval,88,pass,6,6
s19_global_counter,21,pass,3,3
s20_char_sum,17,functional_error,3,2
s21_matrix_transpose,20,pass,3,3
s22_gray_code,10,pass,4,4
s23_histogram,18,pass,3,3
s24_roman,19,pass,4,4
s25_linked_list_ops,87,pass,4,4
s26_rpn_calculator,69,pass,5,5
s27_csv_stats,73,functional_error,3,2
s28_bst_traversal,80,pass,4,4
s29_hashtable_cmds,141,pass,3,3
s30_luhn_check,34,pass,4,4
s31_soundex,71,pass,4,4
s32_levenshtein,50,pass,4,4
s33_knapsack,71,pass,3,3
s34_hanoi,27,pass,4,4
s35_lcs,67,pass,4,4
s36_crc32,61,pass,3,3
