sample_id,loc_c,category,n_cases,n_pass
s01_sum,16,pass,4,4
s02_gcd,19,pass,4,4
s03_factorial,14,pass,4,4
s04_fibonacci,16,pass,4,4
s05_count_primes,22,pass,4,4
s06_reverse_string,19,pass,4,4
s07_bubble_sort,26,pass,4,4
s08_binary_search,22,pass,3,3
s09_djb2_hash,17,pass,3,3
s100_musl_strverscmp,44,pass,5,5
s101_freebsd_strlcpy,49,pass,4,4
s102_freebsd_strnstr,47,pass,4,4
s103_nginx_hextoi,63,functional_error,4,3
s104_musl_strcasestr,32,pass,4,4
s105_musl_memrchr,37,pass,4,4
s106_openbsd_strtonum,68,pass,5,5
s107_openbsd_timingsafe_bcmp,37,pass,4,4
s108_nginx_atoi,47,pass,4,4
s109_apache_getword,55,pass,4,4
s10_caesar_cipher,23,pass,3,3
s110_queue_module,75,pass,4,4
s111_linked_list_module,91,pass,3,3
s112_producer_consumer_threads,97,pass,4,4
s113_rwlock_counter,69,pass,4,4
s114_simple_threadpool,73,pass,4,4
s115_bitvector_set,45,pass,3,3
s116_tagged_union_variant,68,pass,3,3
s117_goto_retry_loop,35,pass,4,4
s118_variadic_sum,52,pass,4,4
s119_setjmp_error_handling,46,pass,3,3
s11_collatz,17,pass,4,4
s120_function_pointer_dispatch,63,pass,3,3
s121_recursive_descent_calc2,85,pass,5,5
s122_trie_insert_search,66,pass,3,3
s123_avl_tree_insert,116,pass,4,4
s124_graph_bfs,56,pass,3,3
s125_graph_dfs_cycle,51,pass,3,3
s126_priority_queue_heap,79,pass,3,3
s127_gauss_matrix_inverse,54,pass,4,4
s128_custom_tokenizer,75,pass,3,3
s129_command_dispatch_table,59,pass,3,3
s12_matrix_mult,36,pass,2,2
s130_qsort_callback_structs,58,pass,3,3
s13_word_count,19,pass,4,4
s14_fnv_hash,17,pass,3,3
s15_float_avg,17,pass,4,4
s16_rle_encode,22,pass,3,3
s17_determinant,35,pass,4,4
s18_expr_eval,88,pass,6,6
s19_global_counter,21,pass,3,3
s20_char_sum,17,pass,3,3
s21_matrix_transpose,20,pass,3,3
s22_gray_code,10,pass,4,4
s23_histogram,18,pass,3,3
s24_roman,19,pass,4,4
s25_linked_list_ops,87,pass,4,4
s26_rpn_calculator,69,pass,5,5
s27_csv_stats,73,pass,3,3
s28_bst_traversal,80,pass,4,4
s29_hashtable_cmds,141,pass,3,3
s30_luhn_check,34,pass,4,4
s31_soundex,71,pass,4,4
s32_levenshtein,50,pass,4,4
s33_knapsack,71,pass,3,3
s34_hanoi,27,pass,4,4
s35_lcs,67,pass,4,4
s36_crc32,61,pass,3,3
s37_bsd_getopt,148,pass,5,5
s38_bsd_strtol,154,functional_error,4,3
s39_bsd_heapsort,143,pass,4,4
s40_diff_sum,27,pass,4,4
s41_float_bits,21,pass,4,4
s42_bitfields,25,pass,4,4
s43_switch_fallthrough,25,pass,5,5
s44_fib_memo_static,29,pass,4,4
s45_goto_cleanup,43,pass,4,4
s46_musl_qsort,262,pass,7,7
s47_redis_sds,522,functional_error,6,5
s48_cjson_number,389,pass,6,6
s49_negative_byte_count,27,pass,5,5
s50_id_generator,30,pass,4,4
s51_long_clamp,33,functional_error,5,3
s52_window_sum,33,pass,5,5
s53_tax_bracket,31,pass,5,5
s54_stack_module,95,pass,5,5
s55_config_parser,112,pass,5,5
s56_macro_table,97,pass,5,5
s57_shared_counter_threads,71,pass,5,5
s58_rolling_hash_poly31,18,pass,4,4
s59_sdbm_hash,19,pass,4,4
s60_elf_hash,23,pass,4,4
s61_utf8_byte_vs_char_count,23,pass,4,4
s62_strtok_tokenizer,25,pass,4,4
s63_palindrome_bytes,27,pass,4,4
s64_char_minmax_signed,29,pass,4,4
s65_ctype_isalpha_highbyte,24,pass,4,4
s66_xor_checksum_signed_extend,22,pass,5,5
s67_stats_stddev_format,28,pass,4,4
s68_currency_round_format,16,pass,4,4
s69_sqlite_snprintf_g,17,pass,4,4
s70_global_lcg_rng,25,pass,4,4
s71_global_errbuf,39,pass,4,4
s72_global_log_level,31,pass,4,4
s73_bsd_atoi_overflow,22,functional_error,4,2
s74_platform_loop_counter,24,functional_error,4,2
s75_bsd_strtoul,111,functional_error,4,2
s76_array_shrink_countdown,26,pass,4,4
s77_ring_buffer_index,25,pass,4,4
s78_sliding_window_min,30,pass,4,4
s79_http_status_class,26,pass,4,4
s80_state_machine_fallthrough,23,pass,4,4
s81_grade_bucket_fallthrough,25,pass,4,4
s82_macro_minmax_sideeffect,22,pass,4,4
s83_macro_swap_no_temp,31,pass,4,4
s84_xmacro_enum_strings,44,pass,4,4
s85_sqlite_stricmp,65,pass,5,5
s86_sqlite_strglob,185,pass,5,5
s87_sqlite_utf8_read,54,pass,4,4
s88_zlib_adler32_real,86,pass,4,4
s89_zlib_crc32_table,61,pass,4,4
s90_curl_urldecode,82,pass,4,4
s91_redis_ll2string,71,pass,5,5
s92_openssl_base64_encode,60,pass,4,4
s93_libsodium_bin2hex,58,pass,4,4
s94_freebsd_reallocarray,40,pass,4,4
s95_redis_stringmatchlen,152,pass,5,5
s96_cjson_print_string,104,pass,4,4
s97_cjson_hex4_unicode,42,pass,4,4
s98_musl_memmem,158,pass,5,5
s99_musl_strsep,35,pass,3,3
